location,hour,day_of_week,month,base_fare
5,3,2,2,129
3,21,5,1,131
12,19,0,1,60
9,4,6,3,123
2,2,2,3,87
4,4,2,1,69
10,5,6,1,77
6,2,1,3,131
1,4,0,1,124
14,17,0,3,65
15,10,0,2,107
1,4,3,3,69
14,23,1,3,126
13,21,6,1,83
11,8,1,3,149
7,22,1,1,135
9,11,0,2,67
14,11,5,2,139
12,20,6,2,96
8,11,0,1,51
14,21,2,2,85
15,18,5,1,106
15,14,2,1,146
5,7,6,1,60
12,1,2,2,145
1,11,5,3,116
13,5,6,3,83
14,4,2,2,112
8,9,6,1,128
0,7,0,3,99
13,23,2,2,75
1,21,2,1,78
14,0,1,1,113
3,2,2,1,148
12,15,1,1,61
2,18,1,1,108
13,12,0,1,96
8,3,1,1,139
14,6,0,1,119
9,1,5,2,88
7,14,2,3,123
7,22,6,3,99
1,2,4,2,135
11,18,4,2,82
7,7,0,2,128
4,15,1,2,90
9,17,1,3,99
0,1,2,1,52
0,15,0,3,66
11,8,1,1,116
13,18,5,3,115
9,5,0,3,112
4,13,2,2,100
1,16,3,2,128
1,18,6,1,105
9,18,6,3,86
2,19,4,3,109
0,12,1,2,123
9,17,0,2,50
12,9,5,2,141
0,22,3,3,118
12,1,6,1,101
15,13,1,3,123
15,22,0,3,124
9,20,3,2,118
13,17,5,3,83
4,11,0,1,77
5,6,0,1,51
7,18,3,3,129
2,13,4,2,66
7,0,4,1,87
6,15,2,3,73
1,17,0,1,139
13,12,4,2,137
13,0,0,1,137
9,6,6,3,112
2,10,0,3,111
6,14,6,1,61
6,2,0,1,99
13,22,1,1,123
6,23,3,2,130
5,2,3,1,103
10,17,5,3,69
1,0,2,3,129
4,3,0,2,97
3,23,1,3,144
13,19,2,3,98
10,4,6,2,137
4,2,1,3,75
4,11,3,1,123
2,16,6,2,92
9,6,0,2,50
10,16,1,2,121
14,23,3,3,95
0,5,4,2,74
10,0,0,1,150
12,17,5,1,112
4,22,3,2,69
14,14,6,1,148
14,6,3,3,121
2,22,6,3,111
7,6,5,1,91
11,23,6,3,97
9,21,1,1,61
8,2,0,2,103
13,22,4,1,149
12,4,2,2,150
8,17,6,3,88
12,21,6,2,138
9,3,6,3,126
5,19,1,3,119
8,2,1,3,69
3,19,1,1,147
4,13,6,2,115
0,7,6,2,134
14,23,4,3,86
2,5,6,2,58
15,14,6,3,102
0,14,1,2,122
7,14,4,1,145
12,18,4,2,134
0,21,4,2,69
13,22,1,1,72
3,18,2,1,59
14,15,3,3,86
8,0,3,3,83
12,0,5,3,86
6,3,1,2,140
6,3,6,1,136
6,8,2,3,136
1,9,2,2,51
1,10,6,3,122
7,13,6,2,54
0,5,4,2,95
14,10,0,1,119
13,3,1,1,104
10,17,1,1,50
1,15,6,3,106
3,3,3,3,51
0,22,5,1,131
12,9,2,1,65
6,5,1,2,60
2,7,2,2,77
13,23,6,3,93
5,13,1,2,109
2,5,6,1,117
2,20,5,1,140
8,18,4,3,144
7,10,2,1,50
7,16,5,3,109
11,5,2,1,72
8,9,0,2,86
8,18,0,2,103
4,23,1,1,110
1,7,2,3,86
6,5,2,3,140
15,8,6,2,146
11,20,4,1,90
2,9,2,1,76
14,6,2,2,116
14,16,5,1,53
7,13,1,1,87
13,1,2,2,60
3,23,3,1,87
5,8,2,1,129
14,17,1,1,100
10,2,2,3,105
3,23,0,2,143
15,18,1,2,108
10,22,3,2,121
6,8,3,2,136
6,1,0,2,51
4,21,0,1,69
0,19,6,3,140
2,5,4,2,53
0,20,0,2,140
11,11,1,1,128
13,22,0,1,141
15,5,3,3,98
12,9,0,3,52
10,9,6,2,125
5,3,0,1,59
13,12,2,1,123
2,19,4,2,67
3,17,0,1,85
11,13,2,2,124
11,18,6,2,134
13,10,3,3,99
6,2,0,2,116
0,0,3,1,63
15,9,2,2,107
2,9,4,3,106
11,21,5,1,134
3,23,0,1,100
5,12,3,1,149
1,5,5,1,137
1,0,6,2,142
3,10,6,1,92
6,3,0,1,58
12,15,1,3,94
4,5,2,3,104
11,22,6,3,72
3,21,3,1,59
1,12,0,1,74
11,14,5,2,74
10,5,4,1,84
13,14,2,2,108
4,19,1,2,142
3,18,5,3,82
7,0,5,2,148
15,21,4,3,64
13,17,5,3,91
9,7,6,1,109
15,18,6,2,56
11,3,2,3,97
2,5,2,3,108
7,2,1,1,129
4,8,3,2,89
6,22,0,2,50
0,22,3,1,120
4,8,1,1,54
6,5,0,1,135
15,1,0,3,100
6,7,6,2,149
9,20,1,1,71
5,10,0,1,88
8,6,5,3,56
2,4,0,1,147
6,6,1,1,107
12,7,1,1,105
14,18,5,1,150
4,13,2,3,56
0,18,0,3,148
10,10,6,1,115
13,10,2,2,115
12,7,6,2,107
6,6,6,3,118
15,1,0,1,148
14,9,1,2,82
2,18,4,3,131
3,21,6,2,145
10,9,2,1,83
11,5,0,2,102
7,15,3,3,53
10,2,3,1,51
15,19,6,1,144
0,11,0,2,55
15,9,4,2,57
0,20,2,3,77
14,2,2,3,66
15,0,2,3,82
14,8,2,3,102
0,20,6,1,95
10,11,0,1,142
0,0,1,1,82
8,16,6,1,66
2,3,1,1,77
0,1,6,2,132
13,20,0,1,147
3,20,1,3,64
3,14,0,3,137
13,17,6,3,72
8,1,2,3,92
9,22,3,2,84
15,6,1,2,51
12,2,6,3,65
10,20,2,1,52
9,17,2,1,141
8,5,5,1,97
14,15,0,3,73
8,7,6,2,61
10,19,3,3,99
11,10,2,1,87
12,1,2,2,128
5,6,5,1,95
14,22,5,3,82
5,9,2,2,149
9,18,1,2,56
15,12,3,3,75
2,19,4,3,146
7,2,2,3,119
12,8,5,3,59
6,17,0,1,66
3,1,2,2,62
5,9,1,3,122
7,14,4,1,150
15,18,4,2,147
5,21,1,1,129
0,20,4,1,137
5,8,4,1,75
8,13,4,1,65
2,20,1,3,64
9,2,3,2,120
7,3,2,1,80
11,11,6,2,112
7,15,4,2,75
6,3,6,1,91
3,6,4,2,127
15,5,5,1,112
5,23,2,1,108
9,10,3,2,52
7,23,3,3,72
0,3,4,3,84
9,14,0,3,64
14,12,2,2,57
3,12,6,1,90
14,11,4,1,148
15,15,0,3,130
7,12,4,2,121
2,5,3,3,73
15,13,2,1,132
1,8,5,1,125
15,10,0,1,76
1,19,5,1,74
5,10,6,3,107
7,19,4,2,74
0,23,3,3,124
3,12,0,1,73
12,1,3,3,85
12,16,2,2,63
1,12,3,2,114
0,6,6,1,139
13,1,6,2,95
13,20,4,3,68
1,20,4,2,149
0,17,5,3,73
12,21,4,2,108
7,22,6,1,102
13,11,6,1,88
9,20,1,3,66
3,7,4,3,79
11,16,4,2,77
2,21,4,2,116
15,13,4,1,144
8,20,6,1,95
7,23,3,1,107
11,6,5,2,70
4,5,2,3,72
6,20,6,3,107
15,15,2,2,73
1,8,6,3,107
4,20,5,3,82
15,3,3,3,57
2,11,4,1,101
2,17,6,1,145
3,9,4,3,120
13,15,2,3,112
10,5,0,3,85
10,7,5,2,70
14,0,4,2,57
13,23,2,1,79
9,17,1,3,130
2,13,1,1,84
9,7,3,3,131
6,20,2,1,68
1,21,2,1,80
9,7,1,3,92
1,10,1,1,124
3,7,1,2,113
8,5,0,1,138
9,7,0,3,62
1,11,0,2,89
9,17,4,2,57
4,19,0,1,118
15,19,4,3,136
13,6,4,2,113
10,16,6,2,149
10,7,2,3,132
7,7,3,2,149
3,18,1,1,114
9,10,4,3,85
0,12,6,1,105
12,17,5,3,113
8,12,0,2,122
3,19,0,1,69
3,15,2,3,66
7,1,5,2,137
0,16,3,2,63
14,20,1,3,142
15,5,3,1,129
9,4,1,3,61
12,16,6,1,132
12,2,3,2,58
3,12,5,3,50
3,17,3,2,150
5,2,6,3,59
8,12,2,2,142
15,6,2,3,143
14,2,2,2,129
15,3,0,2,62
10,7,5,3,58
5,8,6,3,58
6,11,1,2,93
14,20,4,1,119
9,7,2,3,147
9,13,5,2,130
0,5,0,2,53
7,20,5,1,66
15,12,6,1,138
13,23,0,1,67
4,13,5,2,125
2,18,5,1,110
13,5,0,3,70
11,23,1,1,112
1,3,5,2,83
1,5,3,1,138
15,21,5,1,79
13,19,0,1,133
15,6,3,2,149
1,12,1,1,59
15,10,4,2,112
7,5,3,3,97
13,9,6,2,50
6,13,4,2,106
6,8,0,1,131
6,23,6,2,124
4,12,6,1,52
13,22,3,1,119
14,18,5,3,101
4,23,6,1,140
0,23,4,3,106
6,13,1,3,78
14,23,1,3,56
12,4,6,2,121
10,10,3,1,145
9,4,4,3,150
2,14,0,2,77
11,23,2,1,102
8,13,5,3,141
12,0,2,2,86
5,20,0,1,112
4,23,2,1,136
5,12,6,1,104
8,10,3,1,107
6,4,2,3,112
4,11,4,2,121
15,13,6,1,86
8,15,0,2,97
1,11,4,2,55
11,2,4,2,101
3,23,6,3,105
6,6,4,2,115
15,5,5,2,142
4,21,4,1,61
2,22,0,1,147
4,22,2,1,57
1,7,4,2,149
15,23,2,2,139
10,13,1,1,133
5,6,2,1,75
6,21,2,1,57
3,0,3,3,61
12,19,0,1,139
6,10,5,1,137
13,15,5,1,50
3,14,6,2,147
7,6,0,3,89
7,5,3,2,85
0,12,6,1,77
2,14,5,3,73
1,12,4,3,100
9,20,0,1,105
0,18,5,2,146
6,13,5,2,92
9,11,1,2,119
0,19,5,3,100
0,15,4,2,93
12,16,3,1,136
12,22,2,1,134
9,4,5,1,54
12,1,3,1,101
4,12,0,2,125
13,6,1,3,131
5,8,5,3,141
4,19,2,2,53
7,5,5,3,86
3,8,1,3,77
4,22,5,3,146
0,6,4,3,68
7,13,5,1,68
9,5,3,3,129
0,2,5,2,77
4,11,0,2,63
6,11,3,3,117
9,6,5,2,136
2,13,4,3,70
8,7,4,1,124
5,1,5,2,53
5,1,0,1,70
9,2,3,1,112
14,10,1,1,81
7,23,4,3,120
1,10,2,2,116
12,18,6,1,118
10,11,0,3,137
4,1,1,1,79
14,10,1,2,97
0,1,4,1,82
11,21,2,3,141
3,5,2,2,99
12,17,6,1,114
8,8,6,1,56
14,4,5,2,60
15,10,1,1,59
13,2,6,1,138
11,2,2,1,55
1,6,0,1,84
2,2,4,2,134
10,18,4,1,51
7,10,2,2,106
15,6,0,1,150
4,8,6,3,59
9,4,1,1,113
1,17,3,3,91
0,1,4,1,76
9,7,6,1,95
10,22,3,3,149
15,14,6,1,136
3,17,4,3,132
15,11,4,3,82
6,7,1,1,114
13,14,2,2,137
3,16,2,1,108
5,11,6,1,77
5,4,1,1,136
15,1,6,1,73
6,0,6,2,118
8,23,4,1,50
14,20,0,1,86
2,15,6,1,63
1,7,2,1,142
3,2,6,1,149
2,14,2,2,54
14,17,0,3,90
2,7,5,1,130
8,23,4,1,148
0,10,5,1,115
12,9,2,1,98
14,13,3,3,93
4,15,4,1,113
14,15,1,1,81
9,8,1,3,122
5,11,1,1,87
13,16,0,3,68
11,22,4,3,125
4,17,2,1,87
10,15,4,1,106
2,8,3,1,74
5,8,1,1,57
5,1,0,1,117
7,3,2,3,99
6,22,3,2,99
1,17,6,3,122
7,19,3,3,77
0,6,4,2,130
12,19,3,3,112
1,15,1,2,143
4,19,1,3,105
14,5,0,3,113
14,13,4,3,96
9,13,2,2,79
1,14,1,2,50
12,2,5,1,58
3,11,5,1,54
7,17,2,2,130
3,14,5,2,139
14,16,4,1,83
2,7,1,1,101
7,10,5,3,70
2,18,2,1,123
4,7,4,2,74
0,9,6,2,86
9,14,3,1,73
12,17,0,3,147
13,4,1,2,133
8,19,1,3,146
11,7,4,2,121
1,13,3,2,95
7,7,6,3,125
15,5,4,1,138
15,15,1,1,141
0,21,6,3,56
4,18,5,3,97
6,12,3,3,100
10,8,2,1,61
8,8,3,1,146
6,23,4,1,107
1,10,3,3,86
13,9,3,1,72
7,0,1,3,73
2,10,4,1,138
12,15,5,2,54
15,3,3,3,141
7,7,4,3,114
1,21,0,3,145
12,11,6,3,73
2,19,5,3,117
12,18,0,2,150
10,16,2,1,116
4,17,0,3,58
6,4,5,1,125
15,20,3,1,144
14,23,0,1,72
3,13,2,2,52
4,6,3,1,90
10,15,1,2,73
3,22,0,2,146
13,11,1,2,147
2,4,3,3,82
0,14,4,3,71
0,7,4,3,104
4,0,0,2,54
3,2,1,2,132
10,16,5,3,84
8,16,6,3,110
1,10,5,3,145
15,20,4,3,67
1,0,2,3,90
14,7,0,1,88
0,7,6,3,148
12,15,4,2,118
14,6,2,2,86
9,9,5,1,72
0,1,2,2,106
14,15,1,2,131
14,23,5,2,61
14,8,5,2,131
2,17,3,1,103
6,14,2,3,52
8,7,3,2,141
2,1,5,2,85
1,14,2,3,90
5,8,2,3,107
4,15,5,2,104
12,3,2,2,139
6,23,1,2,53
14,23,0,3,84
12,1,5,1,122
0,1,2,3,148
5,0,5,2,75
14,9,3,2,100
0,23,1,3,66
15,9,3,1,135
1,0,0,3,83
14,11,4,2,126
9,15,5,2,142
12,2,5,3,96
8,22,1,1,105
5,9,6,1,107
5,18,5,2,144
12,15,5,1,67
7,12,4,1,116
9,9,6,1,55
3,2,6,3,67
8,18,3,3,79
5,6,3,3,148
15,0,4,3,54
13,14,0,2,53
6,15,0,3,78
6,20,5,3,106
11,10,3,1,147
10,23,6,3,100
8,9,3,3,73
10,11,3,1,74
5,9,3,1,69
8,21,1,2,78
7,21,0,3,65
11,19,4,1,109
11,0,4,3,103
1,13,2,1,145
9,12,1,2,136
15,22,4,3,117
0,3,4,1,108
1,21,3,3,88
1,5,6,3,119
0,15,2,3,87
10,7,3,3,105
5,18,4,3,97
8,3,1,2,96
3,20,0,1,135
14,19,6,2,130
6,12,0,1,150
1,7,3,3,74
0,18,5,2,59
14,22,4,1,98
3,22,3,2,134
10,14,4,1,96
3,4,3,3,144
15,15,1,3,59
8,22,4,2,64
1,12,0,2,108
13,17,1,2,53
4,13,6,1,126
8,4,5,3,94
15,9,3,2,136
7,4,1,2,93
2,7,6,2,85
10,12,0,2,73
7,8,3,1,110
3,13,6,1,120
2,1,0,2,108
7,9,0,2,60
6,18,1,1,76
2,6,2,3,118
13,3,2,3,105
0,18,6,2,94
5,3,5,2,61
2,21,3,1,110
3,17,3,3,128
3,6,1,3,62
11,0,0,1,133
7,18,2,3,51
11,22,3,1,110
9,5,3,2,83
2,15,5,1,81
14,11,5,3,150
9,14,1,1,126
6,1,2,2,74
10,4,4,1,53
8,19,3,3,66
2,23,2,1,87
10,4,6,1,66
4,5,1,3,91
9,10,5,3,135
13,4,6,2,62
12,13,3,3,55
13,22,0,3,138
10,21,6,3,53
0,18,0,1,75
5,15,2,1,131
1,4,2,3,64
7,22,0,3,54
5,10,0,1,62
5,8,3,1,71
14,8,3,3,136
2,4,4,3,133
14,18,5,1,134
3,16,0,2,107
10,0,1,1,117
10,9,6,1,98
11,10,6,3,81
0,3,5,3,148
7,4,5,1,89
3,21,2,1,130
9,21,0,1,124
14,16,3,1,86
9,15,6,2,144
7,21,0,1,68
14,12,5,1,95
0,23,3,3,129
1,3,1,2,116
7,9,3,3,115
4,18,1,2,79
4,20,3,1,57
6,17,6,3,65
5,7,5,3,129
6,11,5,2,54
1,18,1,1,60
9,14,1,2,131
13,1,4,1,145
6,20,1,3,82
4,17,1,1,105
11,4,0,3,130
12,6,4,1,136
13,21,5,1,118
0,20,4,3,84
6,6,4,1,121
4,6,4,3,65
6,13,6,3,59
7,12,4,1,55
3,10,1,3,141
6,20,3,3,111
7,3,5,2,143
5,3,5,3,50
15,23,4,2,121
2,17,6,1,83
7,7,6,3,99
14,0,2,3,52
1,22,1,2,54
14,13,3,3,93
10,20,2,2,110
4,21,4,2,98
2,22,3,3,71
8,16,5,2,93
11,8,2,3,95
15,16,3,3,73
5,20,5,2,51
5,12,3,3,73
3,3,4,2,111
7,23,1,2,99
0,13,4,2,112
13,13,2,1,146
9,7,2,3,91
1,13,3,1,54
7,2,0,1,84
15,19,3,1,116
15,18,6,1,131
6,7,6,2,149
13,17,2,2,98
3,5,6,3,150
3,17,4,2,73
12,12,6,1,95
13,2,3,3,75
6,11,3,3,139
12,20,3,3,120
0,19,0,3,143
2,23,2,3,66
10,21,4,3,98
5,4,4,1,86
1,22,2,1,61
15,5,4,1,69
1,4,1,1,94
9,5,1,3,149
8,13,2,1,144
4,4,0,1,146
2,2,6,1,142
5,12,2,1,126
9,10,1,1,68
6,6,6,1,126
12,14,1,2,80
8,15,1,1,64
9,7,1,2,127
15,3,0,1,134
14,10,4,3,78
7,10,3,2,87
15,21,0,2,124
8,23,6,2,51
0,22,0,2,109
10,2,3,1,77
9,14,5,1,126
9,2,3,1,142
8,2,3,3,146
5,9,6,3,143
14,14,6,1,82
9,23,6,2,62
10,15,0,3,127
5,18,6,3,146
2,14,0,3,77
10,19,3,2,146
14,23,6,3,60
3,22,5,3,104
1,3,6,1,71
7,12,3,2,68
12,3,6,1,127
7,7,4,1,126
13,1,1,1,136
13,7,6,3,80
0,3,5,2,99
3,3,3,2,119
10,22,1,3,53
10,9,0,1,72
3,1,1,2,135
4,16,6,1,95
8,23,1,2,99
3,17,2,2,78
10,16,4,1,121
5,10,4,2,77
3,16,6,1,136
4,17,2,3,121
13,5,5,1,97
9,15,0,3,145
15,22,5,1,98
5,5,2,3,130
12,9,1,3,136
10,7,3,1,61
14,8,0,3,85
13,9,4,2,125
0,2,4,1,98
1,15,1,3,126
11,20,1,3,64
15,9,3,2,121
2,4,4,3,149
14,17,0,3,69
10,10,3,1,55
1,1,6,2,67
11,8,2,1,67
1,13,4,2,139
8,7,3,3,119
3,2,0,2,144
8,17,1,1,105
11,8,2,3,147
4,13,0,1,82
6,19,2,3,69
13,7,5,1,60
9,10,6,1,122
2,5,6,3,54
15,8,5,2,67
14,18,4,2,107
8,0,1,3,102
10,2,4,3,71
3,8,6,3,136
1,1,0,3,92
3,9,4,1,146
6,3,6,1,69
5,8,2,2,132
9,4,0,3,61
2,20,4,1,85
12,3,6,1,114
5,4,1,3,110
10,7,1,1,51
5,12,5,1,108
10,10,6,1,140
11,12,6,2,121
7,18,5,1,97
11,21,6,3,87
13,17,6,2,124
11,3,5,1,87
5,20,2,3,144
12,6,2,1,58
11,11,0,1,87
9,23,1,1,76
8,15,1,1,121
15,10,4,1,113
6,0,2,2,119
14,12,6,2,85
6,21,0,3,133
6,11,0,3,101
1,23,5,1,129
2,8,6,1,132
0,6,2,1,82
15,9,0,1,150
11,1,2,1,58
6,1,5,2,98
14,6,0,3,127
12,8,2,2,106
3,19,3,3,72
10,16,2,1,81
8,16,4,1,148
14,22,0,1,98
15,6,6,3,148
9,10,4,3,122
2,9,6,3,56
13,23,3,2,61
14,18,4,2,93
9,20,3,3,75
2,5,0,3,56
3,20,0,1,101
4,10,1,2,65
10,2,2,2,94
11,16,3,3,121
6,14,3,2,51
13,17,0,1,121
5,18,6,1,105
6,10,4,3,60
14,7,0,2,68
12,0,5,3,116
13,11,3,3,139
14,18,4,3,89
6,8,5,3,118
9,11,1,2,113
3,20,0,3,108
12,8,0,2,56
12,23,4,1,125
11,16,1,3,96
5,17,1,2,63
13,1,6,2,60
10,4,3,3,121
7,0,3,3,51
15,9,1,2,118
1,16,0,3,140
8,14,3,3,141
7,20,4,2,110
0,2,2,3,120
15,23,2,3,133
15,21,5,3,110
3,20,2,1,108
1,4,5,1,56
5,19,4,1,109
0,21,3,2,75
11,0,3,3,70
13,6,2,3,78
10,9,3,2,95
4,15,4,1,86
1,17,4,3,82
3,10,5,2,56
5,6,1,3,117
15,6,4,1,81
9,22,5,2,128
15,16,2,2,97
10,15,0,2,136
0,11,4,1,121
12,18,0,3,125
7,4,3,3,137
9,14,4,3,96
11,11,5,3,103
4,9,2,3,62
7,10,4,1,92
4,3,3,3,95
3,1,3,2,110
7,17,4,1,144
14,7,1,1,98
4,23,5,2,126
5,19,6,2,141
14,5,6,3,141
13,9,4,2,137
13,19,1,3,52
1,2,4,3,139
0,5,1,3,76
11,4,5,2,117
5,17,3,2,122
5,18,2,3,75
15,18,1,1,87
1,20,5,2,71
5,12,3,1,112
14,22,1,2,135
7,22,2,3,103
5,9,3,3,57
8,16,3,2,123
8,0,3,1,135
15,20,1,3,140
11,7,0,1,111
11,1,0,1,150
8,19,2,3,55
15,4,6,3,88
14,5,1,2,75
11,7,4,1,64
3,0,3,2,99
10,4,0,3,101
14,14,1,1,110
6,8,2,3,87
8,13,5,1,68
5,3,4,3,81
15,22,1,2,53
15,4,2,3,75
2,8,1,3,122
11,10,5,2,71
1,11,5,2,102
7,12,3,2,76
10,23,0,3,87
8,14,5,1,68
3,4,0,1,68
0,12,5,3,82
9,0,6,3,82
5,11,5,2,121
5,18,4,3,130
0,6,2,2,88
6,16,3,3,133
10,23,1,2,115
7,4,3,1,134
10,23,2,3,74
15,7,4,3,67
10,15,0,2,54
13,23,1,1,122
2,15,2,1,132
12,7,3,3,56
11,4,6,2,144
9,23,3,2,124
15,3,0,1,95
14,1,6,3,107
4,3,1,1,78
14,17,3,3,108
4,23,0,3,129
14,16,5,1,68
3,8,1,3,147
8,15,0,3,125
11,11,5,2,86
9,3,2,2,98
9,21,5,2,125
2,19,6,1,123
3,17,1,2,128
15,23,6,2,145
4,2,3,1,124
5,3,0,3,123
13,10,6,3,106
10,16,4,1,90
1,21,1,3,149
2,16,3,3,92
4,10,4,2,126
13,10,1,3,78
13,17,4,2,147
14,4,2,3,109
8,19,2,3,62
1,15,4,3,76
15,6,2,2,134
0,20,5,1,94
0,2,4,3,104
5,11,2,3,149
14,5,6,2,117
2,17,3,2,60
1,7,1,3,135
3,5,0,2,78
9,1,0,1,67
8,12,4,2,57
8,22,4,3,83
14,2,3,1,144
8,4,1,2,113
2,5,4,2,131
8,17,0,3,56
8,10,3,3,86
3,8,4,3,71
0,20,0,2,98
13,20,1,1,117
15,19,6,1,147
5,2,0,1,75
5,0,2,2,108
0,15,5,1,102
11,23,6,2,90
7,10,6,1,70
2,23,5,1,64
12,1,1,2,127
11,12,6,3,122
4,20,1,3,92
1,17,1,1,101
11,5,0,3,95
7,15,3,1,62
15,6,6,1,52
9,22,0,3,57
9,16,6,3,137
1,17,1,1,123
2,13,3,2,126
12,15,2,1,62
3,15,3,3,112
3,9,4,2,129
6,14,5,1,54
6,21,1,1,145
13,10,1,3,64
10,18,0,1,133
5,9,6,1,126
6,15,0,2,53
11,0,3,3,75
13,22,3,2,73
6,14,0,2,139
0,7,4,3,73
0,12,2,3,67
15,18,5,2,60
9,14,0,2,105
7,5,1,3,85
2,23,6,1,73
9,11,6,2,150
0,8,2,2,60
8,4,5,1,79
6,22,5,3,144
7,2,5,2,95
3,20,3,3,87
11,16,1,1,69
14,13,3,3,59
11,18,3,1,148
14,17,3,3,121
15,2,3,2,95
12,21,4,2,82
9,7,6,1,146
4,2,0,2,135
5,16,5,1,91
6,12,1,3,61
1,16,1,1,131
2,15,2,2,113
14,15,0,1,90
3,4,2,2,112
13,9,2,2,69
11,14,6,1,103
9,20,6,2,117
5,22,1,2,107
4,0,2,2,54
7,5,4,2,80
12,23,4,1,57
0,12,4,1,103
6,1,6,1,79
12,16,4,2,126
10,18,2,2,52
5,15,3,2,58
2,12,4,2,108
1,11,3,1,149
7,2,5,2,93
11,0,1,1,141
7,1,5,2,66
3,19,6,3,139
8,0,4,2,112
11,11,6,3,82
14,0,4,2,66
3,0,1,2,55
4,18,6,1,109
13,4,6,1,116
2,20,1,2,79
14,22,0,2,133
0,19,3,2,66
4,6,5,1,144
0,2,3,3,59
13,22,5,3,102
3,0,0,3,83
8,22,6,3,52
11,22,5,2,108
6,1,2,3,114
10,17,3,1,147
0,14,3,3,98
4,11,0,1,52
0,21,3,1,66
14,1,1,3,137
14,0,0,3,146
11,7,2,1,53
1,23,1,3,135
1,6,2,1,52
10,7,4,1,129
6,21,2,2,86
7,0,2,1,145
7,17,3,3,140
10,3,2,1,118
4,15,3,3,110
5,1,4,1,102
14,3,3,3,54
4,21,6,2,134
7,7,3,1,83
10,4,6,3,66
10,20,1,2,150
7,13,2,2,51
11,16,2,3,89
5,21,1,3,92
12,3,1,3,142
0,10,0,1,94
6,16,3,3,60
14,5,2,3,56
7,5,2,2,146
2,17,1,1,67
1,16,1,2,85
3,4,2,1,57
10,3,3,1,127
11,2,2,1,145
6,4,5,1,67
0,17,5,3,112
8,10,4,1,70
13,19,4,1,131
8,15,1,2,108
0,5,2,1,88
12,22,1,3,88
12,13,2,3,94
15,4,3,1,102
8,6,3,1,141
1,23,5,1,92
8,20,5,2,113
0,10,3,3,97
10,23,2,1,133
15,15,3,1,130
13,6,3,2,107
5,15,5,2,95
6,3,5,2,118
4,5,6,1,109
7,7,4,1,54
5,14,1,2,61
13,16,5,1,138
9,22,3,3,111
8,1,1,3,79
3,15,5,1,127
5,8,6,1,140
0,17,1,1,127
1,12,1,2,87
15,15,6,3,125
2,4,6,1,138
6,10,5,3,148
5,16,5,3,79
12,11,5,1,82
12,5,2,1,70
6,8,3,1,113
5,20,1,1,127
1,11,4,1,110
3,20,0,2,96
5,10,2,2,134
3,10,2,3,143
0,5,6,1,146
10,13,6,3,144
15,14,5,3,85
5,16,0,1,140
4,19,2,1,147
12,1,2,3,135
0,23,0,1,62
1,14,1,3,75
9,8,3,3,59
14,11,6,1,71
12,6,0,2,142
14,13,5,2,96
10,13,3,3,52
7,9,1,2,145
11,10,6,2,105
12,18,1,3,133
6,11,5,1,132
3,1,1,1,127
10,16,2,2,96
3,4,4,2,118
6,5,3,2,134
9,11,2,1,137
8,8,6,3,82
0,5,5,1,146
0,16,2,1,132
12,22,0,2,73
12,14,6,3,131
13,0,5,2,78
2,5,2,3,92
13,17,6,1,147
5,9,0,3,101
12,7,2,1,144
6,15,2,2,67
14,4,6,1,94
1,0,0,3,84
14,0,4,1,126
15,23,4,2,102
12,4,5,3,62
9,11,5,2,60
7,16,0,3,105
12,22,5,1,102
2,11,6,1,75
0,13,6,1,74
7,18,6,3,145
15,9,2,1,140
3,5,4,3,83
1,8,6,1,119
2,22,1,3,87
14,8,4,1,107
1,6,4,1,69
9,20,6,3,94
1,23,4,1,128
6,0,6,1,74
6,20,0,2,110
11,12,4,1,65
8,10,6,2,96
11,5,2,2,59
13,14,2,1,122
12,20,3,2,148
3,17,3,3,67
1,8,5,1,55
2,23,0,2,118
10,10,0,1,93
11,18,6,2,148
13,22,3,2,130
2,5,0,2,77
11,8,0,3,135
8,4,2,3,128
1,9,3,2,98
3,17,6,1,142
3,4,6,2,136
11,4,1,3,71
1,3,2,3,108
4,2,4,1,146
7,23,6,2,122
1,12,4,3,54
13,14,1,1,85
9,5,3,2,87
1,9,6,1,98
4,19,2,3,97
9,16,1,2,147
5,9,4,1,141
11,5,2,2,149
13,2,4,2,97
10,23,0,2,143
3,7,3,3,89
0,8,4,2,57
12,2,1,1,132
11,8,0,2,107
12,18,2,2,84
11,7,3,1,93
14,14,0,3,64
14,7,4,2,122
8,6,5,3,109
12,16,2,3,115
8,23,4,2,108
10,0,5,1,109
13,21,5,3,89
7,6,1,3,75
0,8,5,2,60
6,14,6,2,147
2,19,2,1,65
1,14,5,2,88
11,20,1,1,108
4,12,6,3,62
1,19,2,2,70
2,11,2,2,101
7,18,2,2,100
11,10,1,2,69
3,12,5,3,139
5,0,5,3,81
10,13,1,2,84
3,16,3,3,96
11,1,6,1,110
1,14,4,1,97
8,5,6,1,109
5,23,4,3,137
15,3,5,3,85
13,11,6,1,139
13,9,1,2,142
1,13,6,3,96
15,4,6,1,112
14,8,1,3,121
6,11,0,2,59
1,16,0,2,97
11,16,2,2,101
11,14,4,3,68
6,23,6,1,68
4,2,0,1,84
3,6,6,3,144
14,19,0,1,94
7,2,5,1,112
9,1,4,1,64
2,15,1,1,80
13,18,6,3,85
13,3,3,2,54
5,20,6,2,68
15,7,6,3,74
10,3,1,1,148
5,19,6,1,119
13,21,5,2,62
3,3,0,3,86
